From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
243;2059;river_large;1496;-1;-1;-1;-1;Grand Lift of Dectus
1276;304;sea;2888;-1;-1;-1;-1;Bridge of Sacrifice
304;387;sea;2888;-1;-1;-1;-1;Bridge of Sacrifice
2482;171;river_large;2852;-1;-1;-1;-1;Crossing in Gelmir
2247;1611;river_large;2798;-1;-1;-1;-1;South Crossing in Chapel of Anticipation
1273;3141;river_large;2798;-1;-1;-1;-1;North Crossing in Chapel of Anticipation
1037;292;river_large;1267;-1;-1;-1;-1;Grand Lift of Rold
836;258;sea;2832;-1;-1;-1;-1;Liurnia Bridge to Tower
1859;1211;river_large;2827;-1;-1;-1;-1;Bridge to Beastial Sanctum
2000;1362;sea;2589;-1;-1;-1;-1;Bridge to Epstein Island
1974;246;sea;2843;-1;-1;-1;-1;Bridge to Redmane Castle
1441;1522;sea;2589;-1;-1;-1;-1;Radahn Gate
1553;128;river_large;1376;-1;-1;-1;-1;Giants Gravepost Crossing
293;1077;river_large;1407;-1;-1;-1;-1;Fire Giant Crossing
655;680;river_large;1459;-1;-1;-1;-1;Forge of the Giants Crossing
494;218;river_large;184;-1;-1;-1;-1;TEMPORARY SNOWFIELD CROSSING
276;2074;sea;2697;-1;-1;-1;-1;Deeproot Crossing
2125;2091;river_large;2680;-1;-1;-1;-1;Ainsel Cloister Crossing
1152;1034;sea;1322;-1;-1;-1;-1;Liurnia-Ainsel River Well Crossing
529;812;sea;1791;-1;-1;-1;-1;Deep Ainsel Well-Moonlight Altar Crossing
1090;756;sea;241;-1;-1;-1;-1;Rennas Rise-Ainsel River Main Portal
3169;650;sea;3118;-1;-1;-1;-1;West Altus Divine Tower Connection
2113;2064;river_large;2836;-1;-1;-1;-1;Siofra River Connection 1
2558;1967;river_large;2999;-1;-1;-1;-1;Siofra River Connection 2
937;1952;river_large;3028;-1;-1;-1;-1;Siofra River Well Limgrave
2418;1581;river_large;2695;-1;-1;-1;-1;Siofra River Well Caelid
1480;2398;river_large;2660;-1;-1;-1;-1;Siofra-Deeproot Coffin
589;138;river_large;1129;-1;-1;-1;-1;Mohgwyn Palace Portal
1890;225;river_large;2999;-1;-1;-1;-1;Four Belfries Nokron
2247;5;river_large;2798;-1;-1;-1;-1;Four Belfries CoA
2460;397;river_large;2183;-1;-1;-1;-1;Castle Ensus Crossing
1047;656;river_large;3255;-1;-1;-1;-1;Bonny Village Bridge
656;1923;river_large;3256;-1;-1;-1;-1;Bonny Village Bridge to Manus Metyr 1
1923;1435;river_large;3260;-1;-1;-1;-1;Bonny Village Bridge to Manus Metyr 2
1047;442;river_large;3256;-1;-1;-1;-1;Bonny Village Bridge to Bonny Gaol
-1;-1;;-1;-1;-1;-1;-1;
